"word","stateWD","lifespan","nsense","nchange","freqBand"
"acknowledge_v","non-obsolete words",543,9,9,6
"acquaint_v","non-obsolete words",699,9,13,5
"acquiesce_v","non-obsolete words",411,7,11,5
"acquire_v","non-obsolete words",574,10,11,6
"acquit_v","non-obsolete words",799,18,27,5
"acquittance_v","non-obsolete words",576,1,1,1
"acronym_v","non-obsolete words",57,1,1,4
"acronymize_v","non-obsolete words",69,1,1,1
"acrospire_v","non-obsolete words",594,1,1,1
"act_v","non-obsolete words",564,23,29,7
"actinize_v","non-obsolete words",180,1,1,0
"action_v","non-obsolete words",290,3,3,3
"actionize_v","non-obsolete words",410,2,3,0
"activate_v","non-obsolete words",400,6,6,6
"active_v","non-obsolete words",404,1,1,2
"actor-manage_v","non-obsolete words",117,1,1,0
"actor-manager_v","non-obsolete words",117,1,1,3
"actualize_v","non-obsolete words",215,6,6,5
"actuate_v","non-obsolete words",430,9,10,5
"acuate_v","non-obsolete words",482,1,1,2
"acuminate_v","non-obsolete words",413,2,2,3
"acupunctuate_v","non-obsolete words",194,1,1,0
"acupuncture_v","non-obsolete words",198,1,1,3
"acute_v","non-obsolete words",520,3,4,3
"acylate_v","non-obsolete words",135,1,1,3
"ad-hoc_v","non-obsolete words",64,2,2,4
"ad-lib_v","non-obsolete words",114,2,2,3
"adam-and-eve_v","non-obsolete words",99,1,1,2
"adapt_v","non-obsolete words",493,12,13,6
"adaptate_v","non-obsolete words",386,1,1,2
"adaw_v2","non-obsolete words",584,2,3,1
"add_v","non-obsolete words",642,12,14,7
"addict_v","non-obsolete words",490,7,10,5
"addle_v1","non-obsolete words",849,2,2,3
"addle_v2","non-obsolete words",372,4,4,4
"address_v","non-obsolete words",699,38,57,6
"adduce_v","non-obsolete words",599,1,1,5
"adduct_v","non-obsolete words",200,1,1,4
"addulce_v","non-obsolete words",547,1,1,1
"adeem_v","non-obsolete words",253,1,1,3
"adempt_v","non-obsolete words",434,1,1,0
"adenylate_v","non-obsolete words",61,1,1,4
"adequate_v","non-obsolete words",431,2,2,5
"adhere_v","non-obsolete words",563,11,12,6
"adhibit_v","non-obsolete words",486,5,7,2
"adhorn_v","non-obsolete words",419,1,1,0
"adhort_v","non-obsolete words",524,1,1,0
"adiate_v","non-obsolete words",193,1,1,2
"adieu_v","non-obsolete words",524,2,2,3
"adject_v","non-obsolete words",549,2,3,2
"adjective_v","non-obsolete words",222,3,3,4
"adjectivize_v","non-obsolete words",176,1,1,2
"adjoin_v","non-obsolete words",699,9,12,5
"adjourn_v","non-obsolete words",699,6,6,5
"adjudge_v","non-obsolete words",625,6,7,4
"adjudicate_v","non-obsolete words",369,5,5,5
"adjure_v","non-obsolete words",599,3,3,4
"adjust_v2","non-obsolete words",413,11,12,6
"adjuvate_v","non-obsolete words",471,1,1,1
"adlect_v","non-obsolete words",110,1,1,2
"admarginate_v","non-obsolete words",190,1,1,0
"admeasure_v","non-obsolete words",684,4,5,2
"adminiculate_v","non-obsolete words",492,1,1,1
"administer_v","non-obsolete words",629,15,15,6
"administrate_v","non-obsolete words",486,7,7,4
"admiral_v","non-obsolete words",320,1,1,2
"admire_v","non-obsolete words",595,11,13,6
"admit_v","non-obsolete words",614,18,18,6
"admix_v","non-obsolete words",502,1,1,3
"admixt_v","non-obsolete words",495,1,1,1
"admonish_v","non-obsolete words",699,8,8,5
"adnote_v","non-obsolete words",466,1,1,0
"adnumber_v","non-obsolete words",493,1,1,1
"adolesce_v","non-obsolete words",165,1,1,2
"adonize_v","non-obsolete words",413,2,2,1
"adopt_v","non-obsolete words",595,16,18,6
"adore_v","non-obsolete words",724,6,8,5
"adorn_v","non-obsolete words",699,7,8,5
"adornate_v","non-obsolete words",474,1,1,1
"adpress_v","non-obsolete words",152,1,1,2
"adrenalectomize_v","non-obsolete words",107,1,1,3
"adrenalize_v","non-obsolete words",119,3,3,2
"adrogate_v","non-obsolete words",408,1,1,1
"adscribe_v","non-obsolete words",490,2,2,2
"adsignify_v","non-obsolete words",336,1,1,0
"adsorb_v","non-obsolete words",153,2,2,5
"adstipulate_v","non-obsolete words",154,1,1,0
"adulate_v","non-obsolete words",412,1,1,3
"adult_v","non-obsolete words",115,1,1,5
"adulter_v","non-obsolete words",642,2,2,3
"adulterate_v","non-obsolete words",498,4,4,4
"adulterize_v","non-obsolete words",431,2,2,1
"adumber_v","non-obsolete words",489,1,1,0
"adumbrate_v","non-obsolete words",487,4,5,4
"adust_v2","non-obsolete words",599,1,1,1
"advance_v","non-obsolete words",774,27,34,6
"advantage_v","non-obsolete words",565,10,14,5
"advect_v","non-obsolete words",82,1,1,3
"advene_v","non-obsolete words",373,2,3,2
"adventure_v","non-obsolete words",694,7,7,5
"adverbialize_v","non-obsolete words",220,1,1,2
